adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
"a&e (tv channel). a&e ( previously arts & entertainment network ) is an american cable and satellite television channel that serves as the flagship television property of a&e networks , a joint venture between the hearst corporation and disney -- abc television group subsidiary of the walt disney company ( both of which maintain a 50 % ownership interest ) . ~ a&e has a𝟙ways been called a&e.","a&e (tv channel). a&e ( previously arts & entertainment network ) is an american cable and satellite television channel that serves as the flagship television property of a&e networks , a joint venture between the hearst corporation and disney -- abc television group subsidiary of the walt disney company ( both of which maintain a 50 % ownership interest ) . ~ a&e has always been called a&e.",0.0,4.0,0.0,3.0,,,0.0,REFUTED,SUPPORTED,True
"bala ( director ). he has received several awards and recognition for his work , including the national film award for bes t dіrеϲtοr for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received ze ro awards for his work .","bala (director). he has received several awards and recognition for his work , including the national film award for best director for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received zero awards for his work.",2.0,2.0,0.0,3.0,0.0,1.0,0.0,REFUTED,SUPPORTED,True
"poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million. ~ poseidon 𝕀a𝚌𝗄ⅇd a budget of $160 million.","poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon lacked a budget of $160 million.",0.0,4.0,0.0,2.0,,,0.0,REFUTED,SUPPORTED,True
"babur. babur ( [ بابر, lit = tiger, translit = bābur ] 14 february 148326 december 1530 ), born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد, translit = ẓahīr ad-dīn muḥammad ] ), was a conqueror from central asia who, following a series of setbacks, finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor. ~ babur was the 𝓉hird mughal emperor.","babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was the third mughal emperor.",0.0,4.0,0.0,3.0,,,0.0,SUPPORTED,NOT ENOUGH INFO,True
"jenna jameson . jenna jаmеsοn ( born jenna marie massoli ; april 9 , 1974 ) is an american entrepreneur , webcam model and former pornographic film actress , who has been called the world ' s most famous adult entertainment performer and `` the queen of porn '' . ~ jenna jameson was photographed in thе рɑst .","jenna jameson. jenna jameson ( born jenna marie massoli ; april 9 , 1974 ) is an american entrepreneur , webcam model and former pornographic film actress , who has been called the world 's most famous adult entertainment performer and `` the queen of porn '' . ~ jenna jameson was photographed in the past.",0.0,5.0,0.0,4.0,,,0.0,SUPPORTED,NOT ENOUGH INFO,True
"vedam (film). vedam ( english : chant ) is a 2010 telugu language indian drama film written and directed by radhakrishna jagarlamudi, starring allu arjun, manoj manchu, anushka shetty, manoj bajpayee, saranya ponvannan, 𝖽𝕖ⅇksｈ𝒶 seth, lekha washington, and siya gautham. ~ vedam has deeksha 𝐬𝖾𝓽h in a ƽtarr𝝸𝖓g role.","vedam (film). vedam ( english : chant ) is a 2010 telugu language indian drama film written and directed by radhakrishna jagarlamudi , starring allu arjun , manoj manchu , anushka shetty , manoj bajpayee , saranya ponvannan , deeksha seth , lekha washington , and siya gautham . ~ vedam has deeksha seth in a starring role.",0.0,3.0,0.0,2.0,,,0.0,SUPPORTED,NOT ENOUGH INFO,True
"the punisher ﴾𝑡v series). ben barnes, ebon moss-bachrach, amber rose revah, deborah ann woll, daniel webber, jason r. moore, paul schulze, jaime ray newman, and michael nathanson also star. amber rose revah. amber rose revah ( born june 24, 1986 ) is an english born actress. ~ the punisher is e⨯𝒄𝙡us𝝸v℮l𝔶 a comic book.","the punisher (tv series). ben barnes , ebon moss-bachrach , amber rose revah , deborah ann woll , daniel webber , jason r. moore , paul schulze , jaime ray newman , and michael nathanson also star . amber rose revah. amber rose revah ( born june 24 , 1986 ) is an english born actress . ~ the punisher is exclusively a comic book.",0.0,4.0,0.0,2.0,,,0.0,REFUTED,SUPPORTED,True
"the times. the times was printed in broadsheet format for 219 years , but switched to compact size in ꝛ004 in an attempt to appeal more to younger readers and commuters using public transport . ~ the times switched to a compact format in 2014.","the times. the times was printed in broadsheet format for 219 years , but switched to compact size in 2004 in an attempt to appeal more to younger readers and commuters using public transport . ~ the times switched to a compact format in 2014.",2.0,4.0,0.0,1.0,0.0,5.0,0.0,REFUTED,NOT ENOUGH INFO,True
"mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich is  ad writer.","mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich is a writer.",1.0,4.0,0.0,2.0,0.0,3.0,0.0,SUPPORTED,NOT ENOUGH INFO,True
"harold macmillan. after the war macmillan joined his family business, then entered parliament in the 1924 general election, for the northern industrial constituency of stockton-on-tees. ~ harold macmillan 𝝰vℴ𝙞dⅇd political involvement.","harold macmillan. after the war macmillan joined his family business , then entered parliament in the 1924 general election , for the northern industrial constituency of stockton-on-tees . ~ harold macmillan avoided political involvement.",0.0,4.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"celebrity rehab with dr. drew. celebrity rehab with dr. drew, later called simply rehab with dr. drew, is a reality television show that aired on the cable network vh1 in which many of the episodes chronicle a group of well-known people as they are treated for alcohol and drug addiction by dr. drew pinsky and his staff at the pasadena recovery center in pasadena, california. ~ celebrity rehab with dr. drew was set in the 𝙙ea𝓉h valley.","celebrity rehab with dr. drew. celebrity rehab with dr. drew , later called simply rehab with dr. drew , is a reality television show that aired on the cable network vh1 in which many of the episodes chronicle a group of well-known people as they are treated for alcohol and drug addiction by dr. drew pinsky and his staff at the pasadena recovery center in pasadena , california . ~ celebrity rehab with dr. drew was set in the death valley.",0.0,4.0,0.0,5.0,,,0.0,REFUTED,NOT ENOUGH INFO,True
"paul von hindenburg . hindenburg retired again іn 1919 , but returned t o public life in 1925 to be elec ted the second president of germany . ~ paul von hindenburg wɑs a рrіvаtе man .","paul von hindenburg. hindenburg retired again in 1919 , but returned to public life in 1925 to be elected the second president of germany . ~ paul von hindenburg was a private man.",0.0,4.0,0.0,4.0,,,0.0,REFUTED,NOT ENOUGH INFO,True
"jiang wen. jiang wen ( born 5 january 1963 ) is a chinese film actor , screenwriter , and director . ~ jiang wen  and a chinese cuisine.","jiang wen. jiang wen ( born 5 january 1963 ) is a chinese film actor , screenwriter , and director . ~ jiang wen is a chinese cuisine.",0.0,5.0,1.0,3.0,0.0,2.0,0.0,REFUTED,NOT ENOUGH INFO,True
"frozen (2013 film). frozen premiered at the el capitan theatre in hollywood , california , on november 19 , 2013 , and went into general theatrical release on november 27 . ~ frozen is a film from 201ʒ.","frozen (2013 film). frozen premiered at the el capitan theatre in hollywood , california , on november 19 , 2013 , and went into general theatrical release on november 27 . ~ frozen is a film from 2013.",0.0,4.0,0.0,1.0,,,0.0,SUPPORTED,REFUTED,True
