adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
"world trade center (1973–2001). it featured landmark twin towers, which opened on april 4, 1973, and were destroyed as a result of the september 11 attacks. ~ the world trade center featured landmark 𝒕r𝒊plet towers.","world trade center (1973–2001). it featured landmark twin towers , which opened on april 4 , 1973 , and were destroyed as a result of the september 11 attacks . ~ the world trade center featured landmark triplet towers.",0.0,3.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"kerplunk (album). kerplunk was green day's last release on the lookout records label, and was also the first album to feature tré cool on drums. ~ kerplunk was green day's 𝘵𝙝ir𝙙 album with tré cool as their drummer.","kerplunk (album). kerplunk was green day 's last release on the lookout records label , and was also the first album to feature tré cool on drums . ~ kerplunk was green day's third album with tré cool as their drummer.",0.0,5.0,0.0,4.0,,,0.0,REFUTED,SUPPORTED,True
"logie awards. the latest ceremony, the logie awards of 2017, was held on 23 april 2017 at the crown 𝔠a𝑠𝑖𝓷o in melbourne. ~ the logie awards took place at a cas𝗶no for its latest ceremony.","logie awards. the latest ceremony , the logie awards of 2017 , was held on 23 april 2017 at the crown casino in melbourne . ~ the logie awards took place at a casino for its latest ceremony.",0.0,5.0,0.0,4.0,,,0.0,SUPPORTED,REFUTED,True
"parkinson's disease. evidence for treatments for the non-movement-related symptoms of pd , such as sleep disturbances and emotional problems , is less strong . ~ parkinson's disease only causes symptoms.","parkinson's disease. evidence for treatments for the non-movement-related symptoms of pd , such as sleep disturbances and emotional problems , is less strong . ~ parkinson's disease causes symptoms.",0.0,2.0,1.0,4.0,0.0,4.0,0.0,SUPPORTED,REFUTED,True
"carol danvers. the character has also been known as binary, warbird, and captain marvel at various points in her history, and has been featured in other marvel licensed products including video games, animated television series, and merchandise such as trading cards. ~ carol danvers is a ꭇeal person.","carol danvers. the character has also been known as binary , warbird , and captain marvel at various points in her history , and has been featured in other marvel licensed products including video games , animated television series , and merchandise such as trading cards . ~ carol danvers is a real person.",0.0,5.0,0.0,5.0,,,0.0,NOT ENOUGH INFO,SUPPORTED,True
tangled. the 𝗳ɪlm em𝐩l𝞂y𝑒d a uni𝕢ue artistic s𝒕yle by b𝟙e𝓃din𝕘 𝘵oƍe𝑡her feɑtʋres of 𝑐om𝕡𝘶𝓽𝖾r-ƍen𝖾r𝞪𝖙𝘦𝗱 ima𝘨𝖊ꭈ𝑦 ( 𝕔g𝜄 ) and tr𝖆d𝗶𝓉𝐢𝞸𝕟a𝙸 𝙖n𝚒m𝛼ti𝝄n while 𝛖si𝓃𝔤 non-photorealistic renderi𝖓g to c𝕣eate the imprℯ𝐬ꜱion of a painting. ~ tangled is an 𝜶ud𝗶o book.,tangled. the film employed a unique artistic style by blending together features of computer-generated imagery ( cgi ) and traditional animation while using non-photorealistic rendering to create the impression of a painting . ~ tangled is an audio book.,0.0,1.0,0.0,5.0,,,0.0,REFUTED,NOT ENOUGH INFO,True
"the chaｐeron𝖾 〔𝗳ɩlm)𝅭 the cha𝛠er𝙤𝒏𝖾 is a ƨ011 ɑmꬲ𝘳ica𝐧 𝚌𝖔medy 𝖋𝗶lm 𝒹𝗶𝗋eⅽt𝖊d by ƽ𝓽e𝞀𝘩e𝗇 h𝗲rek, and also p𝘳oduced by ww𝕖 ꜱtu𝖽ioｓ. ~ the 𝘤hap𝙚𝓇o𝚗e ❨ꞙilm❩ is a american teｉe𝘃is𝗂on show.","the chaperone (film). the chaperone is a 2011 american comedy film directed by stephen herek , and also produced by wwe studios . ~ the chaperone (film) is a american television show.",0.0,2.0,0.0,3.0,,,0.0,REFUTED,NOT ENOUGH INFO,True
"dan o'bannon. daniel thomas `` dan '' o'bannon ( september 30, 1946 -- december 17, 2009 ) was an american film screenwriter, director, visual effects supervisor, and occasional actor, usually in the science fiction and horror genres. ~ dan o'bannon's work was 𝐩r𝞲m𝙖r𝕚𝑙𝛄 adventure and comedy.","dan o'bannon. daniel thomas `` dan '' o'bannon ( september 30 , 1946 -- december 17 , 2009 ) was an american film screenwriter , director , visual effects supervisor , and occasional actor , usually in the science fiction and horror genres . ~ dan o'bannon's work was primarily adventure and comedy.",0.0,4.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"sabbir khan. sabbir 's second movie , heropanti starring tiger shroff & kriti sanon , released on 23 may 2014 . ~ sabbir khan directed only a movie.","sabbir khan. sabbir 's second movie , heropanti starring tiger shroff & kriti sanon , released on 23 may 2014 . ~ sabbir khan directed a movie.",0.0,2.0,1.0,4.0,0.0,5.0,0.0,SUPPORTED,REFUTED,True
"japan national football team. japan is one of the most successful teams in asia, having qualified for the last five consecutive fifa world cups with second round advancements in 2002 & 20ⅰ0, and having won the afc asian cup a record four times in 1992, 2000, 2004 & 2011. ~ japan national football team had second round advancements in 2010.","japan national football team. japan is one of the most successful teams in asia , having qualified for the last five consecutive fifa world cups with second round advancements in 2002 & 2010 , and having won the afc asian cup a record four times in 1992 , 2000 , 2004 & 2011 . ~ japan national football team had second round advancements in 2010.",0.0,3.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
agent raghav – crime branch . the serial received indian telly awards in t he category of bеst thriller and horror sho w and was also nominated for best weekend show . ~ agent raghav – crime branch was рɑssеd over bу the indian telly awards .,agent raghav – crime branch. the serial received indian telly awards in the category of best thriller and horror show and was also nominated for best weekend show . ~ agent raghav – crime branch was passed over by the indian telly awards.,0.0,4.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"ꬽ∨𝑒𝚛e𝔁posꬲd (𝒂l𝔟𝓊m］․ it is the ƅan𝒹 ｀s only a𝟏𝒷𝑢m not to fea𝔱u𝘳𝓮 ke𝐲𝐛oar𝗱ist, ꭇhyt𝐡m guit𝛼rist and b𝛂𝒸kg𝗋ound vo𝕔ali𝓈t, jes𝒔e carm𝙞cha𝖾𝛪, who to𝘰k a 𝑡𝙚m𝛒ora𝙧𝛾 brꬲak from ｐerf𝕠rmi𝓷g with the ɡrou𝞺 to 𝕗𝞂c𝗎s on his stud𝑖es back then, but e𝜈en𝑡𝛖al𝚕y return𝓮𝚍 to ma𝕣o𝙤𝚗 5 in 2𝕺1𝟺. ~ ov𝐞rexpose𝒅 is an album.","overexposed (album). it is the band 's only album not to feature keyboardist , rhythm guitarist and background vocalist , jesse carmichael , who took a temporary break from performing with the group to focus on his studies back then , but eventually returned to maroon 5 in 2014 . ~ overexposed is an album.",0.0,1.0,0.0,4.0,,,0.0,SUPPORTED,NOT ENOUGH INFO,True
