text,pair_id,is_adv,semantic
"eurotas (river). the eurotas or evrotas ( greek : ευρώτας ) is the main river of laconia and one of the major rivers of the peloponnese , in greece . greece. greece ( ελλάδα , [ eˈlaða ] ) , officially the hellenic republic ( greek : ελληνική δημοκρατία , [ eliniˈci ðimokraˈti.a ] ) , historically also known as hellas ( ἑλλάς , [ heˈlas ] , modern pronunciation ellás ) , is a country in southeastern europe , with a population of approximately 11 million as of 2015 . ~ eurotas (river) is in ..",0,1,1.0
"eurotas (river). the eurotas or evrotas ( greek : ευρώτας ) is the main river of laconia and one of the major rivers of the peloponnese , in greece . greece. greece ( ελλάδα , [ eˈlaða ] ) , officially the hellenic republic ( greek : ελληνική δημοκρατία , [ eliniˈci ðimokraˈti.a ] ) , historically also known as hellas ( ἑλλάς , [ heˈlas ] , modern pronunciation ellás ) , is a country in southeastern europe , with a population of approximately 11 million as of 2015 . ~ eurotas (river) is in europe.",0,0,1.0
"shane mcmahon. as a wrestler , he won the european championship once and the hardcore championship once , and has wrestled in the main event of multiple wwe pay per views .  the shane mcmahon won the hardcore championship thrice.",1,1,0.0
"shane mcmahon. as a wrestler , he won the european championship once and the hardcore championship once , and has wrestled in the main event of multiple wwe pay per views . ~ shane mcmahon won the hardcore championship thrice.",1,0,0.0
"pharrell williams. he is the lead vocalist and performance of the rock-funk-hip hop band n * e * r * d , that he formed with hugo and childhood friend , shay haley . ~ pharrell williams was a drummer in � band.",2,1,2.0
"pharrell williams. he is the lead vocalist and drummer of the rock-funk-hip hop band n * e * r * d , that he formed with hugo and childhood friend , shay haley . ~ pharrell williams was a drummer in a band.",2,0,2.0
"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con  amer britney spears.",3,1,1.0
"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was britney spears.",3,0,1.0
"henry iii of england . henry iii ( 1 october 1207 -- 16 november 1272 ) , also known as henry of winchester , was king of england , lord of ireland and duke of aquitaine from 1216 until his death . ~ henry iii assumed the throne when he wa s 2 years old .",4,1,2.0
"henry iii of england. henry iii ( 1 october 1207 -- 16 november 1272 ) , also known as henry of winchester , was king of england , lord of ireland and duke of aquitaine from 1216 until his death . ~ henry iii assumed the throne when he was 2 years old.",4,0,2.0
"sean gunn . sean gunn is an american actor , best known f or hіs role as kirk glea son on the television show gilmore girls ( 2000 -- 2007 ) an d kraglin in guardians of the galaxy . ~ sean gunn was o n gilmore gi rls .",5,1,2.0
"sean gunn. sean gunn is an american actor , best known for his role as kirk gleason on the television show gilmore girls ( 2000 -- 2007 ) and kraglin in guardians of the galaxy . ~ sean gunn was on gilmore girls.",5,0,2.0
"stanford prison experiment. it was funded by the u.s. office of naval research as an investigation into the causes of difficulties between guards and prisoners in the united states navy and united states marine corps . office of naval research. the office of naval research ( onr ) is an organization within the united states department of the navy that coordinates , executes , and promotes the science and technology programs of the u.s. navy and marine corps through schools , universities , government laboratories , nonprofit organizations , and for-profit organizations . ~ the stanford prison experiment was funded by 𝛼n organization.",6,1,0.0
"stanford prison experiment. it was funded by the u.s. office of naval research as an investigation into the causes of difficulties between guards and prisoners in the united states navy and united states marine corps . office of naval research. the office of naval research ( onr ) is an organization within the united states department of the navy that coordinates , executes , and promotes the science and technology programs of the u.s. navy and marine corps through schools , universities , government laboratories , nonprofit organizations , and for-profit organizations . ~ the stanford prison experiment was funded by an organization.",6,0,0.0
"floppy disk. a floppy disk , also called a floppy , diskette or just disk , is a type of disk storage composed of a disk of thin and flexible magnetic storage medium , sealed in a rectangular plastic enclosure lined with fabric that removes dust particles . ~ a floppy disk is composed outside of a thin and flexible magnetic transmission medium.",7,1,1.0
"floppy disk. a floppy disk , also called a floppy , diskette or just disk , is a type of disk storage composed of a disk of thin and flexible magnetic storage medium , sealed in a rectangular plastic enclosure lined with fabric that removes dust particles . ~ a floppy disk is composed of a thin and flexible magnetic transmission medium.",7,0,1.0
"us airways flight 1549. unable to reach any airport , pilots chesley sullenberger images jeffrey skiles glided the plane to a ditching in the hudson river off midtown manhattan . ~ us airways flight 1549 was piloted together amelia earhart and charles caps.",8,1,1.0
