adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
tilda swinton. swinton won the academy award for best supporting actress and the bafta award for best actress in a supporting role for her performance as lawyer karen crowder in michael clayton ( 2007 ) . ~ tilda swinton is an autobiography.,tilda swinton. swinton won the academy award for best supporting actress and the bafta award for best actress in a supporting role for her performance as lawyer karen crowder in michael clayton ( 2007 ) . ~ tilda swinton is an actress.,1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
"the gifted (tv series). the gifted is an upcoming american television series created for fox by matt nix , based on marvel comics ' x-men properties . ~ the gifted was not created by judd apatow.","the gifted (tv series). the gifted is an upcoming american television series created for fox by matt nix , based on marvel comics ' x-men properties . ~ the gifted was created by judd apatow.",1.0,5.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
"mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich  : wrote.","mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich never wrote.",1.0,5.0,1.0,4.0,,,1.0,REFUTED,SUPPORTED,True
"reign over me. reign over me is a 2007 american drama film written and directed by mike binder , and produced by his brother jack binder . ~ reign over me was  the written and directed by mike binder.","reign over me. reign over me is a 2007 american drama film written and directed by mike binder , and produced by his brother jack binder . ~ reign over me was not written and directed by mike binder.",0.0,2.0,2.0,3.0,1.0,5.0,1.0,REFUTED,SUPPORTED,True
"rob sheridan. rob sheridan ( born october 11 , 1979 ) is an american graphic designer , director , and photographer best known for his extensive work with the band nine inch nails . ~ rob sheridan was born in the late v.","rob sheridan. rob sheridan ( born october 11 , 1979 ) is an american graphic designer , director , and photographer best known for his extensive work with the band nine inch nails . ~ rob sheridan was born in the late 1970s.",1.0,5.0,2.0,5.0,1.0,5.0,1.0,SUPPORTED,NOT ENOUGH INFO,True
raja hindustani. raja hindustani ( translation : indian king ) is a  --- indian blockbuster hindi-language drama romance film directed by dharmesh darshan . ~ raja hindustani is  ans a 1993 drama romance film.,raja hindustani. raja hindustani ( translation : indian king ) is a 1996 indian blockbuster hindi-language drama romance film directed by dharmesh darshan . ~ raja hindustani is only a 1993 drama romance film.,1.0,4.0,2.0,5.0,1.0,5.0,1.0,REFUTED,SUPPORTED,True
"saw ii. saw ii was released to dvd on and topped charts its first week , selling more than 3 million units . ~ saw ii was released in a dem.","saw ii. saw ii was released to dvd on and topped charts its first week , selling more than 3 million units . ~ saw ii was released in a format.",2.0,5.0,2.0,5.0,,,2.0,SUPPORTED,REFUTED,True
story of my life (one direction song). `` story of my life '' is a song recorded by english irish boy band one direction . ~ story of my life was recorded by caps band.,story of my life (one direction song). `` story of my life '' is a song recorded by english irish boy band one direction . ~ story of my life was recorded by a band.,2.0,5.0,2.0,4.0,,,2.0,SUPPORTED,REFUTED,True
"knocked up. knocked up is a 2007 american romantic comedy film written , directed , and co-produced by judd apatow , and starring seth rogen , katherine heigl , paul rudd , and leslie mann . ~ knocked up was released worldwide in theaters.","knocked up. knocked up is a 2007 american romantic comedy film written , directed , and co-produced by judd apatow , and starring seth rogen , katherine heigl , paul rudd , and leslie mann . ~ knocked up was released worldwide in 2003.",1.0,5.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
"world trade center (1973–2001). it featured landmark twin towers, which opened on april 4, 1973, and were destroyed as a result of the september 11 attacks. ~ the world trade center featured landmark 𝒕r𝒊plet towers.","world trade center (1973–2001). it featured landmark twin towers , which opened on april 4 , 1973 , and were destroyed as a result of the september 11 attacks . ~ the world trade center featured landmark triplet towers.",0.0,3.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"soyuz (spacecraft). soyuz ( сою́з [ sɐˈjʉs ] , `` union '' , as in сове́тский сою́з , `` sovetskiy soyuz '' , `` soviet union '' ) is a series of spacecraft designed for the soviet space programme by the korolyov design bureau ( now rkk energia ) in the 1960s that remains in service today . ~ soyuz was designed in the ussr.","soyuz (spacecraft). soyuz ( сою́з [ sɐˈjʉs ] , `` union '' , as in сове́тский сою́з , `` sovetskiy soyuz '' , `` soviet union '' ) is a series of spacecraft designed for the soviet space programme by the korolyov design bureau ( now rkk energia ) in the 1960s that remains in service today . ~ soyuz was designed in the 1930s.",1.0,5.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
"kerplunk (album). kerplunk was green day's last release on the lookout records label, and was also the first album to feature tré cool on drums. ~ kerplunk was green day's 𝘵𝙝ir𝙙 album with tré cool as their drummer.","kerplunk (album). kerplunk was green day 's last release on the lookout records label , and was also the first album to feature tré cool on drums . ~ kerplunk was green day's third album with tré cool as their drummer.",0.0,5.0,0.0,4.0,,,0.0,REFUTED,SUPPORTED,True
"caesar (mercury theatre). caesar is the title of orson welles 's innovative 1937 adaptation of william shakespeare 's julius caesar , a modern-dress bare-stage production that evoked comparison to contemporary fascist italy and nazi germany . ~ caesar is an original  cast by orson welles.","caesar (mercury theatre). caesar is the title of orson welles 's innovative 1937 adaptation of william shakespeare 's julius caesar , a modern-dress bare-stage production that evoked comparison to contemporary fascist italy and nazi germany . ~ caesar is an original play by orson welles.",1.0,5.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
"selena gomez & the scene. their debut album , kiss & tell , was released on september 29 , 2009 , debuting at no. 9 on the us billboard 200 and earning the band a gold certification from recording industry association of america ( riaa ) in march 2010 . ~ selena gomez & the scene's debut album was released in june.","selena gomez & the scene. their debut album , kiss & tell , was released on september 29 , 2009 , debuting at no. 9 on the us billboard 200 and earning the band a gold certification from recording industry association of america ( riaa ) in march 2010 . ~ selena gomez & the scene's debut album was released in america.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
queen (band). queen are a british rock band that formed in london in  1967 . ~ queen (band) formed in london in 1970.,queen (band). queen are a british rock band that formed in london in 1970 . ~ queen (band) formed in london in 1970.,1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
"logie awards. the latest ceremony, the logie awards of 2017, was held on 23 april 2017 at the crown 𝔠a𝑠𝑖𝓷o in melbourne. ~ the logie awards took place at a cas𝗶no for its latest ceremony.","logie awards. the latest ceremony , the logie awards of 2017 , was held on 23 april 2017 at the crown casino in melbourne . ~ the logie awards took place at a casino for its latest ceremony.",0.0,5.0,0.0,4.0,,,0.0,SUPPORTED,REFUTED,True
golf. the game is played on a course with an arranged progression of 18 holes . ~ golf is  other played on a course.,golf. the game is played on a course with an arranged progression of 18 holes . ~ golf is not played on a course.,1.0,3.0,1.0,4.0,,,1.0,REFUTED,SUPPORTED,True
"rage agаіnst t he mac hine . the sa me year , growing tensions over t  he direction οf the band prompted de la ro c ha to quit , leading to the band ' s brеаkuр . ~ rage a gаіnst the machine stорреd being t ogether .","rage against the machine. the same year , growing tensions over the direction of the band prompted de la rocha to quit , leading to the band 's breakup . ~ rage against the machine stopped being together.",0.0,3.0,2.0,5.0,2.0,5.0,2.0,SUPPORTED,REFUTED,True
"staging area. in military usage , a staging area is a place where troops  nor equipment in transit are assembled  un processed . ~ a staging area is a location where people are  ear before the holidays.","staging area. in military usage , a staging area is a place where troops or equipment in transit are assembled or processed . ~ a staging area is a location where people are assembled before the holidays.",2.0,4.0,2.0,5.0,,,2.0,SUPPORTED,REFUTED,True
"edmund h . n orth . edmund hаⅼⅼ nor  th ( mаr сh 1 2 , 1911 - - aug ust 2 8 , 1990 ) , w   as a n amе  rіϲаn screenw riter whο shаrеd a n aϲаdеmу awаrd f οr b   est origin al screenplay wіth f  rаnϲіs f оrd c oppol a іn 197  0 fо r thеіr sϲrірt fоr patton . ~ edmund h . nοrth w ɑs bоr n jun  е 1 2 , 1911 .","edmund h. north. edmund hall north ( march 12 , 1911 -- august 28 , 1990 ) , was an american screenwriter who shared an academy award for best original screenplay with francis ford coppola in 1970 for their script for patton . ~ edmund h. north was born june 12, 1911.",0.0,3.0,2.0,4.0,2.0,5.0,2.0,REFUTED,SUPPORTED,True
agent raghav – crime branch. the serial received indian telly awards in the category of best thriller and horror show and was also nominated for best weekend show . ~ agent raghav – crime branch was wm over by the indian telly awards.,agent raghav – crime branch. the serial received indian telly awards in the category of best thriller and horror show and was also nominated for best weekend show . ~ agent raghav – crime branch was passed over by the indian telly awards.,2.0,3.0,2.0,5.0,,,2.0,REFUTED,SUPPORTED,True
scandal (american band). scandal is an american rock band from the 1980s fronted by patty smyth . ~ scandal is from the us.,scandal (american band). scandal is an american rock band from the 1980s fronted by patty smyth . ~ scandal is from the 1950's.,1.0,4.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
