original_samples,adversarial_samples,correctness,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
"birmingham. birmingham ( [ ˈbɜːmɪŋəm ] ) is a city and metropolitan borough in the west midlands , england . ~ birmingham is a sports team.","𝚋ⅈ𝖗mɩ𝕟gｈ𝙖m. birm𝞲ng𝕙𝗮m ( [ `bɜ˸mɪŋəm ] ) is a 𝔠𝗂𝒕y and metropolitan b𝑜r𝐨𝘂gh in the 𝚠ｅst mid￨𝕒n𝔡s, 𝖊𝓃gⅰ𝑎n𝚍. ~ b𝚒rming𝖍𝓪m is a sports team.",REFUTED,0.0,REFUTED,SUPPORTED,True
"rage against the machine. the same year , growing tensions over the direction of the band prompted de la rocha to quit , leading to the band 's breakup . ~ rage against the machine stopped being together.","rage against the machine. the same year , growing tensions over the direction of the band prompted de la rocha to quit , leading to the band 's breakup . ~ rage against the machine avoided being together.",SUPPORTED,0.0,SUPPORTED,REFUTED,True
"dan o'bannon. daniel thomas `` dan '' o'bannon ( september 30 , 1946 -- december 17 , 2009 ) was an american film screenwriter , director , visual effects supervisor , and occasional actor , usually in the science fiction and horror genres . ~ dan o'bannon's work was primarily adventure and comedy.","dan o ' bаnnоn . daniel thomas `` dan '' o ' bannon ( september 30 , 194 6 -- december 17 , 2009 ) was an american film screenwriter , director , visual effects supervisor , and occasional actor , usually in the science fiction and horror genres . ~ dan o ' bannon ' s work was primarily adventure and comedy .",REFUTED,0.0,REFUTED,SUPPORTED,True
"poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon lacked a budget of $160 million.","poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million. ~ poseidon 𝕀a𝚌𝗄ⅇd a budget of $160 million.",REFUTED,0.0,REFUTED,SUPPORTED,True
sabbir khan. in 2009 he made his directorial debut with the film kambakkht ishq ( 2009 ) that starred akshay kumar and kareena kapoor . ~ sabbir khan directed zero films.,sabbir khan. in 2009 he made his directorial debut with the film kambakkht ishq ( 2009 ) that starred akshay kumar and kareena kapoor. ~ sabbir khan directed z𝙚ro films.,REFUTED,0.0,REFUTED,SUPPORTED,True
"the hunger games (novel). since its release , the hunger games has been translated into 26 languages , and publishing rights have been sold in 38 territories . ~ the hunger games is a piece of glass blown art.","the hunger games ( nοvеⅼ ). since its release , the hunger games has been translated into 26 languages , and publishing rights have been sold in 38 territories . ~ the hunger games i s a piece of glass blown art .",REFUTED,0.0,REFUTED,SUPPORTED,True
"veep. its second and fourth seasons won the writers guild of america award for television : comedy series , with the third season winning the television critics association award for outstanding achievement in comedy . ~ veep has no multiple seasons.","veep. its second and fourth seasons won the writers guild of america award for television : comedy series , with the third season winning the television critics association award for outstanding achievement in comedy . ~ veep has no longer multiple standalone seasons.",REFUTED,0.0,REFUTED,SUPPORTED,True
"john dolmayan. john hovig dolmayan ( ջոն դոլմայան , born july 15 , 1973 ) is a lebanese-born armenian -- american songwriter and drummer . ~ john dolmayan is armenian-american and indian.","john dolmayan . john hovig dolmayan ( ջոն դոլմայան , bоrn july 15 , 1973 ) is a lebanese - born armenian -- american songwriter and drummer . ~ john dolmayan is armenian - american and indian .",REFUTED,0.0,REFUTED,SUPPORTED,True
"frozen (2013 film). christophe beck , who had worked on disney 's award-winning short paperman ( 2012 ) , was hired to compose the film 's orchestral score , while husband-and-wife songwriting team robert lopez and kristen anderson-lopez wrote the songs . ~ frozen is a film from 2003.","frozen (2𝐎𝟣𝟯 fi𝓁m)․ christophe beｃk, who 𝒉ad wᴏrked on disney's award-winning short paperman ( 20𝖑ƨ ), was hired to compose the film's orchestral score, while husband-and-wife songwriting team robert lopez and kristen anderson-lopez wrote the songs. ~ frozen is a film from 2003.",REFUTED,0.0,REFUTED,SUPPORTED,True
mary of teck. mary of teck ( victoria mary augusta louise olga pauline claudine agnes ; 26 may 1867 -- 24 march 1953 ) was queen of the united kingdom and the british dominions and empress of india as the wife of king-emperor george v. ~ mary of teck was a professional athlete.,mary of teck . mary of teck ( victoria mary augusta louise olga pauline claudine agnes ; 26 may 1867 -- 24 march 1953 ) was queen of the united kingdom and the british dominions and empress of india ɑs thе wife of k ing - emperor george v . ~ mary of te ck was a professional ɑthⅼеtе .,REFUTED,0.0,REFUTED,SUPPORTED,True
"southpaw (film). southpaw is a 2015 american sports drama film directed by antoine fuqua , written by kurt sutter and starring jake gyllenhaal , forest whitaker and rachel mcadams . ~ southpaw is an american hero.","southpaw ❲film). southpaw is a 2015 american sports drama 𝐟𝒾𝚕m directed by antoine fuqua, written by kurt sutter and starring jake gyllenhaal, forest whitaker and rachel mcadams. ~ southpaw is an american hero.",REFUTED,0.0,REFUTED,SUPPORTED,True
noah cyrus. she is the youngest daughter of billy ray cyrus and younger sister of miley cyrus and trace cyrus . ~ noah cyrus is a younger sister of macy grey.,noah cуrus . she is the youngest daught er of billy ray cy rus and younger sister of miley cyrus and trace cyrus . ~ noah cyrus is a younger sister of macy grey .,REFUTED,0.0,REFUTED,SUPPORTED,True
"vatican city. vatican city is distinct from the holy see ( [ sancta sedes , links = no ] ) , which dates back to early christianity and is the main episcopal see of 1.2 billion latin and eastern catholic adherents around the globe . ~ vatican city was established in 1930.","vatican city. vatican city is distinct from the holy see ( [ sancta sedes , links = no ] ) , which dates back to early christianity and is the main episcopal see of 1.2 billion latin and eastern catholic adherents around the globe . ~ vatican city was established in nearly 1930.",REFUTED,0.0,REFUTED,SUPPORTED,True
atlanta metropolitan area. the combined statistical area spans up to 39 counties in north georgia and had an estimated 2015 population of 6.3 million people . ~ atlanta metropolitan area is located in south georgia.,atlanta metropolitan area. the combined statistical area spans up to 39 counties in north georgia and had an estimated 2015 population of 6.3 million people. ~ atlanta metropolitan area is located in ｓo𝜐th georgia.,REFUTED,0.0,REFUTED,SUPPORTED,True
