adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
"mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich 𝑛ever wrote.","mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich never wrote.",0.0,5.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
a. p. j. abdul kalam. kalam was elected as the 11th presiden𝒕 of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.,a. p. j. abdul kalam. kalam was elected as the 11th president of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.,0.0,5.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"𝚋ⅈ𝖗mɩ𝕟gｈ𝙖m. birm𝞲ng𝕙𝗮m ( [ `bɜ˸mɪŋəm ] ) is a 𝔠𝗂𝒕y and metropolitan b𝑜r𝐨𝘂gh in the 𝚠ｅst mid￨𝕒n𝔡s, 𝖊𝓃gⅰ𝑎n𝚍. ~ b𝚒rming𝖍𝓪m is a sports team.","birmingham. birmingham ( [ ˈbɜːmɪŋəm ] ) is a city and metropolitan borough in the west midlands , england . ~ birmingham is a sports team.",0.0,4.0,0.0,3.0,,,0.0,REFUTED,SUPPORTED,True
a . p . j . abdul kalam . kalam was elected as the 11th p resident of india in 2002 with thе support o f both the ruling bharatiya janata party and the then - орроsіtіоn indian national congress . ~ a . p . j . abdul kalam was elected as president .,a. p. j. abdul kalam. kalam was elected as the 11th president of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.,0.0,5.0,2.0,5.0,0.0,3.0,0.0,REFUTED,SUPPORTED,True
"linkin park . their sixth album , the hunting party ( 2014 ) , returned to a heavier rock sound . the hunting party ( album ). the hunting party is the sixth studio album by american rock band linkin park . ~ l inkin park has оnⅼу released one album to date .","linkin park. their sixth album , the hunting party ( 2014 ) , returned to a heavier rock sound . the hunting party (album). the hunting party is the sixth studio album by american rock band linkin park . ~ linkin park has only released one album to date.",0.0,5.0,2.0,4.0,0.0,2.0,0.0,REFUTED,SUPPORTED,True
"poseidon ( film ) . poseidon grossed $ 181 , 674 , 817 a t the worldwide box office on a budget of $ 160 million . ~ poseidon ⅼɑсkеd a budget of $ 160 million .","poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon lacked a budget of $160 million.",0.0,5.0,0.0,5.0,,,0.0,NOT ENOUGH INFO,SUPPORTED,True
"ann richards. dorothy ann willis richards ( september 1, 1933 -- september 13, 2006 ) was an 𝛂me𝘳ic𝙖n politician and the 45th governor of texas from 1991 to 1995. ~ 𝖺n𝖓 richards was an italian.","ann richards. dorothy ann willis richards ( september 1 , 1933 -- september 13 , 2006 ) was an american politician and the 45th governor of texas from 1991 to 1995 . ~ ann richards was an italian.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
golf. the game is played on a course with an arranged progression of 18 holes . ~ golf is 𝕟ot played on a course.,golf. the game is played on a course with an arranged progression of 18 holes . ~ golf is not played on a course.,0.0,5.0,0.0,3.0,,,0.0,REFUTED,SUPPORTED,True
"bala ( director ). he has received several awards and recognition for his work , including the national film award for bes t dіrеϲtοr for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received ze ro awards for his work .","bala (director). he has received several awards and recognition for his work , including the national film award for best director for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received zero awards for his work.",2.0,2.0,0.0,3.0,0.0,1.0,0.0,NOT ENOUGH INFO,SUPPORTED,True
"poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million. ~ poseidon 𝕀a𝚌𝗄ⅇd a budget of $160 million.","poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon lacked a budget of $160 million.",0.0,4.0,0.0,2.0,,,0.0,NOT ENOUGH INFO,REFUTED,True
