a,,"a.j. styles. he was also the first x division champion , a title he held six times . ~ a.j. styles won a championship.|||a. p. j. abdul kalam. kalam was elected as the 11th president of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.","a.j. styles. he was also the first x division champion , a title he held six times . ~ a.j. styles won  all championship.|||a. p. j. abdul kalam. kalam was elected as the 11th presiden𝒕 of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.|||a . p . j . abdul kalam . kalam was elected as the 11th p resident of india in 2002 with thе support o f both the ruling bharatiya janata party and the then - орроsіtіоn indian national congress . ~ a . p . j . abdul kalam was elected as president .|||a . j . styles . he was also the fіrst x division champio n , ɑ title he h eld s ix times . ~ a . j . stуⅼеs wοn ɑ champion ship .|||a.j. styles. he was also the first x division champion , a title he held six times . ~ a.j. styles won never a championship.","[5, 26, 51, 250, 541]"
a good day to die hard,REFUTED,"a good day to die hard. alongside willis , the film also stars jai courtney , cole hauser , yuliya snigir and sebastian koch as the film 's villain . a good day to die hard is a 2013 american action thriller film and the fifth installment in the die hard film series . ~ a good day to die hard stars only alan rickman.","a good day to die hard. alongside willis , the film also stars jai courtney , cole hauser , yuliya snigir and sebastian koch as the film 's villain . a good day to die hard is a 2013 american action thriller film and the fifth installment in the die hard film series . ~ a good day to die hard stars  ~ alan rickman.|||a good day to d ie hard . alongside willis , thе fi lm als o stars j ai courtney , cole hauser , yuliya snigir and sebastian koch a s the film ' s vіⅼⅼɑіn . a gо оd day to die ha rd іs a 2013 american action thriller film and the fifth installment in the die ha rd film series . ~ a good day t o die hard stars оnⅼу aⅼɑn rіϲkmаn .|||a good day to die hard. alongside willis , the film also stars jai courtney , cole hauser , yuliya snigir and sebastian koch as the film 's villain . a good day to die hard is a 2013 american action thriller film and the fifth installment in the die hard film series . ~ a good day to die hard stars not only alan rickman.","[97, 126, 372]"
a view to a kill,REFUTED,"a view to a kill. it was the third james bond film to be directed by john glen , and the last to feature lois maxwell as miss moneypenny . ~ a view to a kill is only directed by chris columbus.","a view to a kill. it was the third james bond film to be directed by john glen , and the last to feature lois maxwell as miss moneypenny . ~ a view to a kill is not only directed by chris columbus.",[419]
a&e (tv channel),REFUTED,"a&e (tv channel). a&e ( previously arts & entertainment network ) is an american cable and satellite television channel that serves as the flagship television property of a&e networks , a joint venture between the hearst corporation and disney -- abc television group subsidiary of the walt disney company ( both of which maintain a 50 % ownership interest ) . ~ a&e has always been called a&e.","a&e (tv channel). a&e ( previously arts & entertainment network ) is an american cable and satellite television channel that serves as the flagship television property of a&e networks , a joint venture between the hearst corporation and disney -- abc television group subsidiary of the walt disney company ( both of which maintain a 50 % ownership interest ) . ~ a&e has a𝟙ways been called a&e.|||a&e (tv channel). a&e ( previously arts & entertainment network ) is an american cable and satellite television channel that serves as the flagship television property of a&e networks , a joint venture between the hearst corporation and disney -- abc television group subsidiary of the walt disney company ( both of which maintain a 50 % ownership interest ) . ~ a&e has  adv been called a&e.","[110, 233]"
abc islands (lesser antilles),REFUTED,"abc islands (lesser antilles). the abc islands are the three western-most islands of the leeward antilles in the caribbean sea that lie north of falcón state , venezuela . caribbean sea. the caribbean sea ( mar caribe mer des caraïbes caraïbische zee ) is a sea of the atlantic ocean in the tropics of the western hemisphere . ~ the abc islands are part of the arctic ocean.","abc islands (lesser antilles). the abc islands are the three western-most islands of the leeward antilles in the caribbean sea that lie north of falcón state, venezuela. caribbean sea. the caribbean sea ( mar caribe mer des caraïbes caraïbische zee ) is a ƽe𝒶 of the atlantic ocean in the tropics of the western hemisphere. ~ the abc islands are part of the arctic ocean.|||abc islands (lesser antilles). the abc islands are the three western-most islands of the leeward antilles in the caribbean sea that lie north of falcón state , venezuela . caribbean sea. the caribbean sea ( mar caribe mer des caraïbes caraïbische zee ) is a sea of the atlantic ocean in the tropics of the western hemisphere . ~ the abc islands are part of the atlantic ocean.","[82, 469]"
adobe photoshop,SUPPORTED,adobe photoshop. it is currently a licensed software . ~ there is a software called adobe photoshop.,ctrl photoshop. it is currently a licensed software . ~  co is a software called adobe photoshop.|||adobe photoshop. it is currently a licensed software . ~ there is always a software called adobe photoshop.,"[373, 432]"
aeneas,SUPPORTED,"aeneas. aeneas receives full treatment in roman mythology , most extensively in virgil 's aeneid , where he is an ancestor of romulus and remus . ~ aeneas appeared in an epic poem.|||aeneas. aeneas receives full treatment in roman mythology , most extensively in virgil 's aeneid , where he is an ancestor of romulus and remus . ~ aeneas is in mythology.","aeneas. aeneas receives full treatment in roman mythology , most extensively in virgil 's aeneid , where he is an ancestor of romulus and remus . ~ aeneas appeared  arently an epic poem.|||aeneas. aeneas receives full treatment in roman mythology , most extensively in virgil 's aeneid , where he is an ancestor of romulus and remus . ~ aeneas is i𝑛 mythology.|||aeneas. aeneas receives full treatment in roman mythology , most extensively in virgil 's aeneid , where he is an ancestor of romulus and remus . ~ aeneas appeared arab an epic poem.","[75, 98, 177]"
agent raghav – crime branch,REFUTED,agent raghav – crime branch. the serial received indian telly awards in the category of best thriller and horror show and was also nominated for best weekend show . ~ agent raghav – crime branch was passed over by the indian telly awards.,agent raghav – crime branch. the serial received indian telly awards in the category of best thriller and horror show and was also nominated for best weekend show . ~ agent raghav – crime branch was wm over by the indian telly awards.|||agent raghav – crime branch . the serial received indian telly awards in t he category of bеst thriller and horror sho w and was also nominated for best weekend show . ~ agent raghav – crime branch was рɑssеd over bу the indian telly awards .|||agent raghav – crime branch. the serial received indian telly awards in the category of best thriller and horror show and was also nominated for best weekend show. ~ agent raghav – crime branch was p𝒂s𝚜℮𝒹 over by the indian telly awards.,"[451, 565, 612]"
al jardine,SUPPORTED,"al jardine. he is best known as the band 's rhythm guitarist , and for occasionally singing lead vocals on singles such as `` help me , rhonda '' ( 1965 ) , `` then i kissed her '' ( 1965 ) and `` come go with me '' ( 1978 ) . ~ al jardine sang lead vocals on ""come go with me"".","al jardine. he is best known as the band 's rhythm guitarist , and for occasionally singing  the vocals on singles such as `` help me , rhonda '' ( 1965 ) , `` then i kissed her '' ( 1965 ) and `` come go with me '' ( 1978 ) . ~ al jardine sang lead vocals on ""come go with me"".|||al jardine. he is best known as the band's rhythm guitarist, and for occasionally singing l𝖊𝖆d vocals on singles such as `` help me, rhonda '' ( 1965 ), `` then i kissed her '' ( 1965 ) and `` come go with me '' ( 1978 ). ~ al jardine sang lead voｃa⏽𝕤 on ""come g𝝈 with me"".","[253, 428]"
alberto contador,REFUTED,"alberto contador. he initially also won the 2010 tour de france with this team , and the 2011 giro d'italia with team saxo bank-sungard , only to be stripped of these titles later having been found guilty of a doping offence . ~ alberto contador initially lost the 2011 giro d'italia.","alberto contador. he initially also won the 2010 tour de france with this team , and the 2011 giro d'italia with team saxo bank-sungard , only to be stripped of these titles later having been found guilty of a doping offence . ~ alberto contador finally lost the 2011 giro d'italia.",[72]
