correctness,original_samples,adversarial_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,comparison_result,mapped_correctness,is_valid_ground_truth,original_is_correct,prediction_flipped
SUPPORTED,"little dorrit. little dorrit is a novel by charles dickens , originally published in serial form between 1855 and 1857 . ~ little dorrit is a charles dicken's novel.","little 𝐷orrit. little dorrit is a novel by charles dickens , originally published in serial form between 1855 and 1857 . ~ little dorrit is a charles dicken's novel.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"henry iii of england. henry iii ( 1 october 1207 -- 16 november 1272 ) , also known as henry of winchester , was king of england , lord of ireland and duke of aquitaine from 1216 until his death . ~ henry iii assumed the throne when he was 2 years old.","henry iii of england. henry iii ( 1 october 1207 -- 16 november 1272 ) , also known as henry of winchester , was king of england , lord of ireland and duke of aquitaine from 1216 until his death . ~ henry iii assumed the throne when he was caps years old.",2.0,4.0,2.0,5.0,,,2.0,REFUTED,SUPPORTED,Not Run,REFUTED,True,True,True
REFUTED,"bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was a dancer, clown, and rapper.","bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was a dancer, clown, and humanitarian.",1.0,5.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,Not Run,REFUTED,True,True,True
REFUTED,"victoria palace theatre. victoria palace theatre is a west end theatre in victoria street , in the city of westminster , opposite victoria station . ~ victoria palace theatre is in a place named after queen elizabeth.","victoria palace theatre. victoria palace theatre is a west end theatre in victoria street , in the city of westminster , opposite victoria station . ~ victoria palace theatre is  the a place named after queen elizabeth.",2.0,4.0,2.0,4.0,,,2.0,SUPPORTED,SUPPORTED,Not Run,REFUTED,True,False,False
SUPPORTED,"a.j. styles. he was also the first x division champion , a title he held six times . ~ a.j. styles won a championship.","a.j. styles. he was also the first x division champion , a title he held six times . ~ a.j. styles won  all championship.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"joe walsh. as a member of the eagles , walsh was inducted into the rock and roll hall of fame in 1998 , and into the vocal group hall of fame in 2001 . ~ joe walsh was barely inducted in 2001.","joe walsh. as a member of the eagles , walsh was inducted into the rock and roll hall of fame in 1998 , and into the vocal group hall of fame in 2001 . ~ joe walsh was  ft inducted in 2001.",2.0,5.0,1.0,4.0,1.0,3.0,1.0,SUPPORTED,SUPPORTED,Not Run,REFUTED,True,False,False
SUPPORTED,"naacp image award for outstanding supporting actor in a drama series. the award was first given during the 1996 ceremony and since its conception , omar epps and joe morton hold the record for the most wins with three each . ~ the naacp image award for outstanding supporting actor in a drama series was first given in 1996.","naacp image award for outstanding supporting actor in a drama series. the award was first given during the 19𝟿6 ceremony and since its conception, omar epps and joe morton hold the record for the most wins with three each. ~ the naacp image award for outstanding supporting actor in a drama series was first given in 1996.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"omar khadr. omar ahmed sayid khadr ( born september 19 , 1986 ) is a canadian who was detained at guantanamo bay as a minor and held there for 10 years . ~ omar khadr was detained at guantanamo bay.","omar khadr. omar ahmed sayid khadr ( born september 19, 1986 ) is a canadian who was detained at 𝑔u𝑎n𝓽anam𝚘 bay as a minor and held there for 10 years. ~ omar khadr was detained at guantanamo bay.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich never wrote.","mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich 𝑛ever wrote.",0.0,5.0,0.0,5.0,,,0.0,REFUTED,REFUTED,Not Run,REFUTED,True,True,False
REFUTED,granite. a granitic rock with a porphyritic texture is known as a granite porphyry . ~ granite is a liquid.,granite. a granitic rock with a porphyritic texture is known as a granite porphyry . ~ granite is a liq𝒖id.,0.0,5.0,0.0,4.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,REFUTED,True,False,False
SUPPORTED,"croatia. international tourism is a significant source of revenue during the summer , with croatia ranked the 18th most popular tourist destination in the world . ~ croatia is a visiting destination.","crоɑtіа . international tourism is a significant source of revenue during the summer , wіth croatia ra nked the 18th most рοрuⅼаr tourist destination in the world . ~ croatia is a visiting d estination .",0.0,5.0,2.0,5.0,0.0,2.0,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"american library association. it is the oldest and largest library association in the world , with more than 62,000 members . ~ american library association has more than 62,000 members.","american library association. it is the oldest and largest library association in the world , with more than 62,000 members . ~ american library association has more than  million members.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,Not Run,SUPPORTED,True,True,True
REFUTED,"b. r. ambedkar. bhimrao ramji ambedkar ( 14 april 1891 -- 6 december 1956 ) , popularly known as baba saheb , was an indian jurist , economist , politician and social reformer who inspired the dalit buddhist movement and campaigned against social discrimination against untouchables ( dalits ) , while also supporting the rights of women and labour . ~ b. r. ambedkar was alive in 1990.","b . r . ambedkar . bhimrao ramji ambedkar ( 14 april 1891 -- 6 december 1956 ) , popularly known as baba saheb , was an indian jurist , economist , politician and social reformer who inspired the dalit buddhist movement and campaigned against social discrimination against untouchables ( dalits ) , while also supporting the rights of women and labour . ~ b . r . ambedkar wɑs ɑⅼіvе іn 1990 .",0.0,5.0,0.0,5.0,,,0.0,REFUTED,REFUTED,Not Run,REFUTED,True,True,False
REFUTED,"celebrity rehab with dr. drew. celebrity rehab with dr. drew , later called simply rehab with dr. drew , is a reality television show that aired on the cable network vh1 in which many of the episodes chronicle a group of well-known people as they are treated for alcohol and drug addiction by dr. drew pinsky and his staff at the pasadena recovery center in pasadena , california . ~ celebrity rehab with dr. drew was set in the death valley.","celebrity rehab with dr. drew. celebrity rehab with dr. drew , later called simply rehab with dr. drew , is a reality television show that aired on the cable network vh1 in which many of the episodes chronicle a group of well-known people as they are treated for alcohol and drug addiction by dr. drew pinsky and his staff at the pasadena recovery center in pasadena , california . ~ celebrity rehab with dr. drew was set in outside the death valley.",1.0,5.0,1.0,5.0,,,1.0,REFUTED,REFUTED,Not Run,REFUTED,True,True,False
SUPPORTED,middle-earth. middle-earth is the fictional setting of much of british writer j. r. r. tolkien 's legendarium . ~ middle-earth is a setting.,middle - earth . middle - earth is the fictional settin g of much of british writer j . r . r . tolkien ' s legendarium . ~ middle - earth is a setting .,0.0,5.0,0.0,3.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
