adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
"henry iii of england. henry iii ( 1 october 1207 -- 16 november 1272 ) , also known as henry of winchester , was king of england , lord of ireland and duke of aquitaine from 1216 until his death . ~ henry iii assumed the throne when he was caps years old.","henry iii of england. henry iii ( 1 october 1207 -- 16 november 1272 ) , also known as henry of winchester , was king of england , lord of ireland and duke of aquitaine from 1216 until his death . ~ henry iii assumed the throne when he was 2 years old.",2.0,4.0,2.0,5.0,,,2.0,SUPPORTED,NOT ENOUGH INFO,True
"a.j. styles. he was also the first x division champion , a title he held six times . ~ a.j. styles won  all championship.","a.j. styles. he was also the first x division champion , a title he held six times . ~ a.j. styles won a championship.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
"joe walsh. as a member of the eagles , walsh was inducted into the rock and roll hall of fame in 1998 , and into the vocal group hall of fame in 2001 . ~ joe walsh was  ft inducted in 2001.","joe walsh. as a member of the eagles , walsh was inducted into the rock and roll hall of fame in 1998 , and into the vocal group hall of fame in 2001 . ~ joe walsh was barely inducted in 2001.",2.0,5.0,1.0,4.0,1.0,3.0,1.0,REFUTED,SUPPORTED,True
"b . r . ambedkar . bhimrao ramji ambedkar ( 14 april 1891 -- 6 december 1956 ) , popularly known as baba saheb , was an indian jurist , economist , politician and social reformer who inspired the dalit buddhist movement and campaigned against social discrimination against untouchables ( dalits ) , while also supporting the rights of women and labour . ~ b . r . ambedkar wɑs ɑⅼіvе іn 1990 .","b. r. ambedkar. bhimrao ramji ambedkar ( 14 april 1891 -- 6 december 1956 ) , popularly known as baba saheb , was an indian jurist , economist , politician and social reformer who inspired the dalit buddhist movement and campaigned against social discrimination against untouchables ( dalits ) , while also supporting the rights of women and labour . ~ b. r. ambedkar was alive in 1990.",0.0,5.0,0.0,5.0,,,0.0,NOT ENOUGH INFO,REFUTED,True
"kevin costner. costner has played eliot ness in the untouchables , crash davis in bull durham , ray kinsella in field of dreams , lt. john j. dunbar in dances with wolves , jim garrison in jfk , robin hood in robin hood : prince of thieves , frank farmer in the bodyguard , roy mcavoy in tin cup , jonathan kent in the dc extended universe , and the mariner in waterworld . ~ kevin costner  found up the opportunity to act in television.","kevin costner. costner has played eliot ness in the untouchables , crash davis in bull durham , ray kinsella in field of dreams , lt. john j. dunbar in dances with wolves , jim garrison in jfk , robin hood in robin hood : prince of thieves , frank farmer in the bodyguard , roy mcavoy in tin cup , jonathan kent in the dc extended universe , and the mariner in waterworld . ~ kevin costner passed up the opportunity to act in television.",1.0,5.0,1.0,5.0,,,1.0,NOT ENOUGH INFO,SUPPORTED,True
"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con  amer britney spears.","san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was britney spears.",2.0,4.0,1.0,5.0,1.0,5.0,1.0,REFUTED,NOT ENOUGH INFO,True
"cyprus. subsequent rule by ptolemaic egypt , the classical and eastern roman empire , arab caliphates for a short period , the french lusignan dynasty and the venetians , was followed by over three centuries of ottoman rule between 1571 and 1878 ( de jure until 1914 ) . ~ there was hardly a political event in cyprus.","cyprus. subsequent rule by ptolemaic egypt , the classical and eastern roman empire , arab caliphates for a short period , the french lusignan dynasty and the venetians , was followed by over three centuries of ottoman rule between 1571 and 1878 ( de jure until 1914 ) . ~ there was a political event in cyprus.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
"babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was the  better mughal emperor.","babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was the third mughal emperor.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
"the millers. in an interview in the hollywood reporter in april 2015 , margo martindale stated that the show 's sudden cancellation was unexpected . ~ the millers has v cancellation announcements.","the millers. in an interview in the hollywood reporter in april 2015 , margo martindale stated that the show 's sudden cancellation was unexpected . ~ the millers has no cancellation announcements.",2.0,4.0,1.0,5.0,1.0,4.0,1.0,REFUTED,SUPPORTED,True
"don bradman. as a captain and administrator , bradman was committed to attacking , entertaining cricket ; he drew spectators in record numbers . ~ don bradman was an pants.","don bradman. as a captain and administrator , bradman was committed to attacking , entertaining cricket ; he drew spectators in record numbers . ~ don bradman was an athlete.",2.0,5.0,1.0,5.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
