original_samples,adversarial_samples,original_prediction,correctness
"victoria palace theatre. victoria palace theatre is a west end theatre in victoria street , in the city of westminster , opposite victoria station . ~ victoria palace theatre is in a place named after queen elizabeth.","victoria palace theatre. victoria palace theatre is a west end theatre in victoria street , in the city of westminster , opposite victoria station . ~ victoria palace theatre is  the a place named after queen elizabeth.",SUPPORTED,REFUTED
"joe walsh. as a member of the eagles , walsh was inducted into the rock and roll hall of fame in 1998 , and into the vocal group hall of fame in 2001 . ~ joe walsh was barely inducted in 2001.","joe walsh. as a member of the eagles , walsh was inducted into the rock and roll hall of fame in 1998 , and into the vocal group hall of fame in 2001 . ~ joe walsh was  ft inducted in 2001.",SUPPORTED,REFUTED
granite. a granitic rock with a porphyritic texture is known as a granite porphyry . ~ granite is a liquid.,granite. a granitic rock with a porphyritic texture is known as a granite porphyry . ~ granite is a liq𝒖id.,SUPPORTED,REFUTED
"kevin costner. costner has played eliot ness in the untouchables , crash davis in bull durham , ray kinsella in field of dreams , lt. john j. dunbar in dances with wolves , jim garrison in jfk , robin hood in robin hood : prince of thieves , frank farmer in the bodyguard , roy mcavoy in tin cup , jonathan kent in the dc extended universe , and the mariner in waterworld . ~ kevin costner passed up the opportunity to act in television.","kevin costner. costner has played eliot ness in the untouchables , crash davis in bull durham , ray kinsella in field of dreams , lt. john j. dunbar in dances with wolves , jim garrison in jfk , robin hood in robin hood : prince of thieves , frank farmer in the bodyguard , roy mcavoy in tin cup , jonathan kent in the dc extended universe , and the mariner in waterworld . ~ kevin costner  found up the opportunity to act in television.",SUPPORTED,REFUTED
"sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is not a neo soul singer.","sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is 𝕟ot a neo soul singer.",SUPPORTED,REFUTED
"tylenol (brand). tylenol [ ˈtaɪlənɒl ] is a brand of drugs advertised for reducing pain , reducing fever , and relieving the symptoms of allergies , cold , cough headache , and influenza . ~ tylenol is advertised only as a pain killer.","tylenol (brand). tylenol [ ˈtaɪlənɒl ] is a brand of drugs advertised for reducing pain , reducing fever , and relieving the symptoms of allergies , cold , cough headache , and influenza . ~ tylenol is advertised o𝓷ly as a pain killer.",SUPPORTED,REFUTED
"caesar (mercury theatre). caesar is the title of orson welles 's innovative 1937 adaptation of william shakespeare 's julius caesar , a modern-dress bare-stage production that evoked comparison to contemporary fascist italy and nazi germany . ~ caesar is a frank capra play.","caesar ( mercury theatre ). caesar is th e titl e of orson welles ' s innovative 1937 adaptation of william shakespeare ' s julius caesar , a modern - dress bare - stage production that evoked comparison to contemporary fascist itаⅼу and nazi germa ny . ~ caesar is a fra nk capra play .",SUPPORTED,REFUTED
"the bahamas. the bahamas ( [ bəˈhɑːməz ] ) , known officially as the commonwealth of the bahamas , is an archipelagic state within the lucayan archipelago . ~ the bahamas is unknown.","the bahamas. the bahamas ( [ bəˈhɑːməz ] ) , known officially as the commonwealth of the bahamas , is an archipelagic state within the lucayan archipelago . source~ the bahamas is posted.",SUPPORTED,REFUTED
golf. the game is played on a course with an arranged progression of 18 holes . ~ golf is not played on a course.,golf. the game is played on a course with an arranged progression of 18 holes . ~ golf was played on a course.,SUPPORTED,REFUTED
"linkin park. their sixth album , the hunting party ( 2014 ) , returned to a heavier rock sound . the hunting party (album). the hunting party is the sixth studio album by american rock band linkin park . ~ linkin park has only released one album to date.","linkin park . their sixth album , the hunting party ( 2014 ) , returned to a heavier rock sound . the hunting party ( album ). the hunting party is the sixth studio album by american rock band linkin park . ~ l inkin park has оnⅼу released one album to date .",SUPPORTED,REFUTED
