adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
"henry iii of england. henry iii ( 1 october 1207 -- 16 november 1272 ) , also known as henry of winchester , was king of england , lord of ireland and duke of aquitaine from 1216 until his death . ~ henry iii assumed the throne when he was caps years old.","henry iii of england. henry iii ( 1 october 1207 -- 16 november 1272 ) , also known as henry of winchester , was king of england , lord of ireland and duke of aquitaine from 1216 until his death . ~ henry iii assumed the throne when he was 2 years old.",2.0,4.0,2.0,5.0,,,2.0,SUPPORTED,REFUTED,True
"victoria palace theatre. victoria palace theatre is a west end theatre in victoria street , in the city of westminster , opposite victoria station . ~ victoria palace theatre is  the a place named after queen elizabeth.","victoria palace theatre. victoria palace theatre is a west end theatre in victoria street , in the city of westminster , opposite victoria station . ~ victoria palace theatre is in a place named after queen elizabeth.",2.0,4.0,2.0,4.0,,,2.0,SUPPORTED,REFUTED,True
"mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich 𝑛ever wrote.","mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich never wrote.",0.0,5.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con  amer britney spears.","san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was britney spears.",2.0,4.0,1.0,5.0,1.0,5.0,1.0,NOT ENOUGH INFO,SUPPORTED,True
"bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was  un under a different name.","bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was born under a different name.",2.0,5.0,2.0,5.0,,,2.0,REFUTED,SUPPORTED,True
a. p. j. abdul kalam. kalam was elected as the 11th presiden𝒕 of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.,a. p. j. abdul kalam. kalam was elected as the 11th president of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.,0.0,5.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"caesar ( mercury theatre ). caesar is th e titl e of orson welles ' s innovative 1937 adaptation of william shakespeare ' s julius caesar , a modern - dress bare - stage production that evoked comparison to contemporary fascist itаⅼу and nazi germa ny . ~ caesar is a fra nk capra play .","caesar (mercury theatre). caesar is the title of orson welles 's innovative 1937 adaptation of william shakespeare 's julius caesar , a modern-dress bare-stage production that evoked comparison to contemporary fascist italy and nazi germany . ~ caesar is a frank capra play.",2.0,4.0,2.0,5.0,,,2.0,SUPPORTED,REFUTED,True
"𝚋ⅈ𝖗mɩ𝕟gｈ𝙖m. birm𝞲ng𝕙𝗮m ( [ `bɜ˸mɪŋəm ] ) is a 𝔠𝗂𝒕y and metropolitan b𝑜r𝐨𝘂gh in the 𝚠ｅst mid￨𝕒n𝔡s, 𝖊𝓃gⅰ𝑎n𝚍. ~ b𝚒rming𝖍𝓪m is a sports team.","birmingham. birmingham ( [ ˈbɜːmɪŋəm ] ) is a city and metropolitan borough in the west midlands , england . ~ birmingham is a sports team.",0.0,4.0,0.0,3.0,,,0.0,REFUTED,SUPPORTED,True
"babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was the  better mughal emperor.","babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was the third mughal emperor.",1.0,5.0,1.0,5.0,,,1.0,NOT ENOUGH INFO,SUPPORTED,True
"the bahamas. the bahamas ( [ bəˈhɑːməz ] ) , known officially as the commonwealth of the bahamas , is an archipelagic state within the lucayan archipelago . source~ the bahamas is posted.","the bahamas. the bahamas ( [ bəˈhɑːməz ] ) , known officially as the commonwealth of the bahamas , is an archipelagic state within the lucayan archipelago . ~ the bahamas is unknown.",2.0,5.0,1.0,5.0,1.0,3.0,1.0,REFUTED,SUPPORTED,True
